room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
8142593,1063,31273436,Shared room,,Busan,Busan,Haeundae,1,0.0,6,1.0,,80.0,,2017-04-12 21:13:34.518262,35.172346,129.1345,0101000020E6100000FCA9F1D24D24604057CC086F0F964140
15345907,1063,97191944,Shared room,,Busan,Busan,Suyeong,0,0.0,10,1.0,,135.0,,2017-04-12 21:13:18.704457,35.163004,129.113772,0101000020E61000006B662D05A4236040008FA850DD944140
1887890,1063,9177813,Shared room,,Busan,Busan,Haeundae,22,4.0,4,1.0,,68.0,,2017-04-12 21:13:16.082333,35.159563,129.167636,0101000020E61000003B342C465D2560406953758F6C944140
17866726,1063,42083346,Shared room,,Busan,Busan,Haeundae,0,0.0,4,1.0,,206.0,,2017-04-12 21:12:59.217512,35.155492,129.144014,0101000020E610000051853FC39B24604013656F29E7934140
11288043,1063,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,6,1.0,,124.0,,2017-04-12 21:12:57.092255,35.097378,129.031418,0101000020E61000002F50526001216040C9ACDEE1768C4140
9933525,1063,50797935,Shared room,,Busan,Busan,Haeundae,1,0.0,11,1.0,,124.0,,2017-04-12 21:12:57.086778,35.159156,129.13919,0101000020E6100000C53D963E74246040297B4B395F944140
12801007,1063,37375487,Shared room,,Busan,Busan,Haeundae,5,5.0,4,1.0,,116.0,,2017-04-12 21:12:57.080035,35.161726,129.165825,0101000020E61000007FFB3A704E256040DA740470B3944140
11308618,1063,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,5,1.0,,103.0,,2017-04-12 21:12:55.843482,35.097576,129.030625,0101000020E610000014AE47E1FA206040EF6FD05E7D8C4140
11287983,1063,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,4,1.0,,90.0,,2017-04-12 21:12:55.841089,35.099139,129.029693,0101000020E610000072FDBB3EF32060400B613596B08C4140
5775516,1063,29672570,Shared room,,Busan,Busan,Sasang,0,0.0,10,1.0,,90.0,,2017-04-12 21:12:55.838122,35.165891,128.997923,0101000020E6100000A31D37FCEE1F6040B2D991EA3B954140
18170520,1063,125338988,Shared room,,Busan,Busan,Haeundae,0,0.0,3,1.0,,90.0,,2017-04-12 21:12:55.832122,35.161111,129.166151,0101000020E610000054E6E61B512560404F0306499F944140
11308615,1063,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,4,1.0,,82.0,,2017-04-12 21:12:54.239124,35.097436,129.029837,0101000020E6100000BE66B96CF4206040FEB968C8788C4140
1376346,1063,6719858,Shared room,,Busan,Busan,Haeundae,1,0.0,3,1.0,,81.0,,2017-04-12 21:12:54.237004,35.16222,129.165683,0101000020E61000001A506F464D256040E960FD9FC3944140
11308954,1063,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,3,1.0,,67.0,,2017-04-12 21:12:54.233852,35.099238,129.030585,0101000020E6100000F1D7648DFA2060409E42AED4B38C4140
11579836,1063,30174967,Shared room,,Busan,Busan,Seo,12,4.5,8,1.0,,72.0,,2017-04-12 21:12:54.231658,35.108563,129.015804,0101000020E6100000ACE46377812060401F477364E58D4140
11328416,1063,45563975,Shared room,,Busan,Busan,Haeundae,0,0.0,3,1.0,,81.0,,2017-04-12 21:12:54.226389,35.170859,129.166869,0101000020E6100000EB36A8FD56256040179D2CB5DE954140
17951489,1063,113451924,Shared room,,Busan,Busan,Busanjin,0,0.0,6,1.0,,72.0,,2017-04-12 21:12:54.049295,35.14486,129.05901,0101000020E61000006284F068E3216040D13FC1C58A924140
17868959,1063,66542454,Shared room,,Busan,Incheon,Jung,1,0.0,4,1.0,,71.0,,2017-04-12 21:12:54.042712,35.094886,129.036759,0101000020E6100000ADDA35212D216040946C7539258C4140
9571777,1063,49552096,Shared room,,Busan,Busan,Dongnae,1,0.0,4,1.0,,77.0,,2017-04-12 21:12:54.035694,35.199032,129.093551,0101000020E610000042B0AA5EFE226040C26D6DE179994140
12369200,1063,66825641,Shared room,,Busan,Busan,Haeundae,0,0.0,4,1.0,,45.0,,2017-04-12 21:12:52.035339,35.162722,129.162107,0101000020E61000007CEE04FB2F2560407C2B1213D4944140
5513366,1063,22874773,Shared room,,Busan,Busan,Seo,0,0.0,4,1.0,,46.0,,2017-04-12 21:12:52.033087,35.097425,129.011332,0101000020E6100000BF2CEDD45C2060400A68226C788C4140
11663062,1063,57341067,Shared room,,Busan,Busan,Suyeong,4,4.5,16,1.0,,45.0,,2017-04-12 21:12:52.030422,35.15029,129.11614,0101000020E61000003DB83B6BB72360403A75E5B33C934140
11308952,1063,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,2,1.0,,45.0,,2017-04-12 21:12:52.027911,35.097614,129.031013,0101000020E61000000798F90EFE206040DDD0949D7E8C4140
11308464,1063,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,3,1.0,,62.0,,2017-04-12 21:12:52.025008,35.097539,129.03119,0101000020E6100000CBBE2B82FF206040D28A6F287C8C4140
2229683,1063,11189002,Shared room,,Busan,Incheon,Jung,0,0.0,2,1.0,,53.0,,2017-04-12 21:12:52.021044,35.099457,129.035935,0101000020E61000000439286126216040DC2DC901BB8C4140
2229751,1063,11189002,Shared room,,Busan,Incheon,Jung,7,4.5,2,1.0,,56.0,,2017-04-12 21:12:52.017267,35.099374,129.035103,0101000020E6100000BA9F53901F2160404E098849B88C4140
6107111,1063,31688399,Shared room,,Busan,Busan,Haeundae,2,0.0,2,1.0,,56.0,,2017-04-12 21:12:52.013990,35.163631,129.160784,0101000020E61000000BB77C24252560404FCE50DCF1944140
5584273,1063,13361964,Shared room,,Busan,Busan,Haeundae,13,5.0,2,1.0,,52.0,,2017-04-12 21:12:52.011160,35.163288,129.162986,0101000020E610000096766A2E3725604025EA059FE6944140
17750122,1063,113451924,Shared room,,Busan,Busan,Busanjin,1,0.0,3,1.0,,54.0,,2017-04-12 21:12:52.008472,35.143445,129.059326,0101000020E6100000AEB9A3FFE52160402AE3DF675C924140
15401054,1063,87697970,Shared room,,Busan,Busan,Busanjin,1,0.0,1,1.0,,59.0,,2017-04-12 21:12:52.006141,35.149038,129.059852,0101000020E610000035D3BD4EEA2160403DEE5BAD13934140
18045022,1063,124173489,Shared room,,Busan,Busan,Haeundae,0,0.0,4,1.0,,54.0,,2017-04-12 21:12:51.999558,35.164016,129.160685,0101000020E6100000A67EDE5424256040A702EE79FE944140
13988816,1063,80666022,Shared room,,Busan,Busan,Haeundae,1,0.0,1,1.0,,18.0,,2017-04-12 21:12:51.173584,35.157656,129.180023,0101000020E6100000E43098BFC2256040540262122E944140
1867643,1063,1544706,Shared room,,Busan,Busan,Haeundae,6,4.5,1,1.0,,31.0,,2017-04-12 21:12:51.164110,35.16304,129.176581,0101000020E61000000A83328DA62560404DF8A57EDE944140
1803276,1063,9177813,Shared room,,Busan,Busan,Haeundae,3,5.0,4,1.0,,40.0,,2017-04-12 21:12:50.127111,35.159816,129.167274,0101000020E610000013EF004F5A25604053B0C6D974944140
1756814,1063,4218964,Shared room,,Busan,Busan,Haeundae,8,4.0,8,1.0,,18.0,,2017-04-12 21:12:50.120697,35.161301,129.166392,0101000020E61000001DCA501553256040F3E7DB82A5944140
12368181,1063,66825641,Shared room,,Busan,Busan,Haeundae,0,0.0,4,1.0,,20.0,,2017-04-12 21:12:50.118049,35.162396,129.165525,0101000020E610000074B515FB4B25604028806264C9944140
1388118,1063,4218964,Shared room,,Busan,Busan,Haeundae,2,0.0,8,1.0,,18.0,,2017-04-12 21:12:50.115244,35.163505,129.164717,0101000020E61000000C03965C45256040C2DD59BBED944140
1375670,1063,6719858,Shared room,,Busan,Busan,Haeundae,2,0.0,6,1.0,,22.0,,2017-04-12 21:12:50.112437,35.161892,129.163905,0101000020E6100000D4D4B2B53E256040F5BD86E0B8944140
15590035,1063,27086135,Shared room,,Busan,Busan,Haeundae,0,0.0,10,1.0,,11.0,,2017-04-12 21:12:50.110060,35.163149,129.163907,0101000020E6100000BC92E4B93E25604003B00111E2944140
10909246,1063,56538657,Shared room,,Busan,Busan,Haeundae,0,0.0,1,1.0,,18.0,,2017-04-12 21:12:50.107826,35.161173,129.163174,0101000020E6100000D731AEB838256040C5FF1D51A1944140
1376309,1063,6719858,Shared room,,Busan,Busan,Haeundae,1,0.0,6,1.0,,22.0,,2017-04-12 21:12:50.105425,35.163233,129.163706,0101000020E610000016855D143D2560406150A6D1E4944140
15585262,1063,94451174,Shared room,,Busan,Busan,Haeundae,0,0.0,1,1.0,,10.0,,2017-04-12 21:12:50.100647,35.162786,129.162898,0101000020E6100000AFD2DD7536256040921FF12BD6944140
8213407,1063,17860082,Shared room,,Busan,Busan,Haeundae,11,4.5,8,1.0,,10.0,,2017-04-12 21:12:50.098550,35.160876,129.161454,0101000020E6100000DE3994A12A2560400C5BB39597944140
8201746,1063,17860082,Shared room,,Busan,Busan,Haeundae,23,4.5,8,1.0,,10.0,,2017-04-12 21:12:50.096306,35.160314,129.161266,0101000020E61000009E7E501729256040A48B4D2B85944140
8228786,1063,17860082,Shared room,,Busan,Busan,Haeundae,12,4.5,8,1.0,,10.0,,2017-04-12 21:12:50.093389,35.162079,129.161195,0101000020E6100000EBA86A8228256040272F3201BF944140
6108019,1063,31688399,Shared room,,Busan,Busan,Haeundae,5,5.0,6,1.0,,25.0,,2017-04-12 21:12:50.091164,35.163251,129.161149,0101000020E61000000F99F221282560400805A568E5944140
5233835,1063,27086135,Shared room,,Busan,Busan,Haeundae,11,4.5,12,1.0,,16.0,,2017-04-12 21:12:50.088910,35.163034,129.161044,0101000020E6100000F226BF45272560406B11514CDE944140
5233618,1063,27086135,Shared room,,Busan,Busan,Haeundae,3,4.0,4,1.0,,18.0,,2017-04-12 21:12:50.085933,35.163188,129.161047,0101000020E6100000CEC3094C27256040C18C2958E3944140
1393695,1063,7534071,Shared room,,Busan,Busan,Haeundae,1,0.0,4,1.0,,25.0,,2017-04-12 21:12:50.082929,35.164003,129.161025,0101000020E6100000D49AE61D2725604013B9E00CFE944140
12215245,1063,62329778,Shared room,,Busan,Busan,Haeundae,1,0.0,10,1.0,,18.0,,2017-04-12 21:12:48.042447,35.161953,129.160053,0101000020E61000000E1478271F2560409A3E3BE0BA944140
14063074,1063,84421174,Shared room,,Busan,Busan,Haeundae,3,3.5,4,1.0,,26.0,,2017-04-12 21:12:48.039033,35.159617,129.159211,0101000020E61000003BC5AA41182560405C7171546E944140
1393697,1063,7534071,Shared room,,Busan,Busan,Haeundae,5,4.5,6,1.0,,22.0,,2017-04-12 21:12:47.976613,35.164555,129.160669,0101000020E6100000658F50332425604057B2632310954140
14937545,1063,3679713,Shared room,,Busan,Busan,Haeundae,2,0.0,10,1.0,,12.0,,2017-04-12 21:12:47.726171,35.164274,129.160572,0101000020E6100000E814E46723256040A3CA30EE06954140
1393696,1063,7534071,Shared room,,Busan,Busan,Haeundae,1,0.0,6,1.0,,22.0,,2017-04-12 21:12:47.398997,35.164786,129.160706,0101000020E6100000ACC8E88024256040596B28B517954140
421816,1063,2002115,Shared room,,Busan,Busan,Haeundae,7,4.0,16,1.0,,23.0,,2017-04-12 21:12:47.058407,35.160548,129.15913,0101000020E6100000003ACC971725604017B83CD68C944140
12233741,1063,62329778,Shared room,,Busan,Busan,Haeundae,0,0.0,4,1.0,,23.0,,2017-04-12 21:12:46.628000,35.162539,129.159749,0101000020E61000003352EFA91C2560408BA9F413CE944140
3314065,1063,15983815,Shared room,,Busan,Busan,Haeundae,1,0.0,4,1.0,,23.0,,2017-04-12 21:12:46.489625,35.16267,129.159647,0101000020E6100000F27C06D41B2560402905DD5ED2944140
16004618,1063,3679713,Shared room,,Busan,Busan,Haeundae,3,5.0,6,1.0,,16.0,,2017-04-12 21:12:46.485992,35.163537,129.159451,0101000020E610000010CAFB381A256040CD57C9C7EE944140
6108085,1063,31688399,Shared room,,Busan,Busan,Haeundae,3,4.5,6,1.0,,25.0,,2017-04-12 21:12:46.483121,35.165215,129.159601,0101000020E6100000166D8E731B25604082E7DEC325954140
14079903,1063,84421174,Shared room,,Busan,Busan,Haeundae,2,0.0,4,1.0,,22.0,,2017-04-12 21:12:46.477398,35.159575,129.157767,0101000020E61000006B2C616D0C2560402D211FF46C944140
14189595,1063,84421174,Shared room,,Busan,Busan,Haeundae,0,0.0,6,1.0,,22.0,,2017-04-12 21:12:46.473341,35.160324,129.157809,0101000020E610000076C075C50C256040C861307F85944140
8694473,1063,41605715,Entire home/apt,,Busan,Busan,Saha,72,5.0,6,2.0,,49.0,,2017-04-12 21:01:10.914284,35.100641,128.99761,0101000020E61000003485CE6BEC1F604081D1E5CDE18C4140
6353397,1063,32177018,Entire home/apt,,Busan,Busan,Haeundae,9,5.0,2,1.0,,54.0,,2017-04-12 21:01:10.911250,35.222926,129.140939,0101000020E61000006477819282246040CCB6D3D6889C4140
16247437,1063,93158844,Entire home/apt,,Busan,Busan,Dong,15,4.5,5,2.0,,42.0,,2017-04-12 21:01:10.909076,35.115762,129.038821,0101000020E6100000BDAC89053E2160404D0F0A4AD18E4140
10818933,1063,55504000,Entire home/apt,,Busan,Busan,Dong,53,4.5,5,0.0,,42.0,,2017-04-12 21:01:10.906213,35.113386,129.039085,0101000020E610000074982F2F4021604081E9B46E838E4140
17167022,1063,96971695,Entire home/apt,,Busan,Busan,Haeundae,14,4.5,8,3.0,,49.0,,2017-04-12 21:01:10.903783,35.160216,129.157162,0101000020E610000091459A7807256040E12538F581944140
13866310,1063,27985462,Entire home/apt,,Busan,Busan,Dong,32,4.5,2,1.0,,44.0,,2017-04-12 21:01:10.901560,35.123261,129.044336,0101000020E610000022C154336B216040A6EF3504C78F4140
17522446,1063,121444858,Entire home/apt,,Busan,Busan,Busanjin,9,5.0,9,2.0,,45.0,,2017-04-12 21:01:10.897624,35.157872,129.0531,0101000020E61000005D6DC5FEB2216040207A522635944140
17535801,1063,118941125,Entire home/apt,,Busan,Busan,Busanjin,2,0.0,4,1.0,,46.0,,2017-04-12 21:01:10.895356,35.157235,129.055189,0101000020E61000002BC3B81BC4216040AE64C74620944140
16470901,1063,94295128,Entire home/apt,,Busan,Busan,Dong,17,4.5,5,2.0,,42.0,,2017-04-12 21:01:10.892913,35.11445,129.038561,0101000020E6100000D53C47E43B2160407B832F4CA68E4140
16074827,1063,94295128,Entire home/apt,,Busan,Busan,Dong,5,4.0,5,2.0,,42.0,,2017-04-12 21:01:10.890293,35.113907,129.037105,0101000020E61000009430D3F62F2160408AE42B81948E4140
18187839,1063,77324030,Entire home/apt,,Busan,Busan,Haeundae,0,0.0,4,1.0,,48.0,,2017-04-12 21:01:10.887736,35.160018,129.15256,0101000020E6100000B05582C5E1246040BB6246787B944140
17661867,1063,108940915,Entire home/apt,,Busan,Busan,Haeundae,3,5.0,5,1.0,,54.0,,2017-04-12 21:01:10.885143,35.160169,129.171717,0101000020E61000005A65A6B47E256040A16AF46A80944140
13780828,1063,76097728,Entire home/apt,,Busan,Busan,Haeundae,16,5.0,3,1.0,,46.0,,2017-04-12 21:01:10.882236,35.157394,129.147033,0101000020E6100000D9CD8C7EB4246040164B917C25944140
18053407,1063,100850920,Entire home/apt,,Busan,Busan,Suyeong,0,0.0,3,1.0,,50.0,,2017-04-12 21:01:09.020906,35.155756,129.120362,0101000020E6100000CCB56801DA236040F01307D0EF934140
14221788,1063,68950529,Entire home/apt,,Busan,Busan,Haeundae,18,4.5,4,1.0,,52.0,,2017-04-12 21:01:09.018053,35.164999,129.164192,0101000020E61000007AC8940F41256040B56FEEAF1E954140
17129426,1063,104860115,Entire home/apt,,Busan,Busan,Busanjin,11,4.5,6,1.0,,46.0,,2017-04-12 21:01:09.015339,35.159231,129.055244,0101000020E61000009BA9108FC421604033C170AE61944140
14136336,1063,81841498,Entire home/apt,,Busan,Busan,Suyeong,45,4.5,3,1.0,,45.0,,2017-04-12 21:01:09.012454,35.156232,129.124141,0101000020E6100000F8E28BF6F82360405A4B0169FF934140
11534013,1063,48035627,Entire home/apt,,Busan,Busan,Busanjin,74,5.0,5,2.0,,45.0,,2017-04-12 21:01:09.007648,35.149136,129.060249,0101000020E6100000BC934F8FED216040005471E316934140
15711537,1063,31832826,Entire home/apt,,Busan,Busan,Busanjin,33,5.0,4,2.0,,46.0,,2017-04-12 21:01:09.005257,35.15705,129.05947,0101000020E6100000FB22A12DE72160401CEBE2361A944140
11021292,1063,52136966,Entire home/apt,,Busan,Busan,Haeundae,68,4.5,4,1.0,,62.0,,2017-04-12 21:01:09.001255,35.155745,129.146191,0101000020E6100000067FBF98AD246040FDC1C073EF934140
17275359,1063,93158844,Entire home/apt,,Busan,Busan,Dong,4,5.0,8,3.0,,54.0,,2017-04-12 21:01:08.999026,35.11368,129.037411,0101000020E610000057B08D7832216040CA1AF5108D8E4140
18071632,1063,100850920,Entire home/apt,,Busan,Busan,Suyeong,0,0.0,3,1.0,,50.0,,2017-04-12 21:01:08.996994,35.155874,129.120614,0101000020E6100000122EE411DC236040FA25E2ADF3934140
16250673,1063,60193334,Entire home/apt,,Busan,Busan,Suyeong,17,4.5,3,0.0,,47.0,,2017-04-12 21:01:08.994822,35.168862,129.116552,0101000020E6100000128942CBBA236040C1C41F459D954140
15975304,1063,103783137,Entire home/apt,,Busan,Busan,Haeundae,19,4.5,6,1.0,,53.0,,2017-04-12 21:01:08.989001,35.158058,129.154671,0101000020E610000078D49810F3246040826F9A3E3B944140
15963486,1063,87407160,Entire home/apt,,Busan,Busan,Busanjin,34,5.0,7,1.0,,58.0,,2017-04-12 21:01:08.986822,35.157282,129.053771,0101000020E610000025CFF57DB8216040EF1F0BD121944140
