room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14996405,90580428,Entire home/apt,Busan,Busanjin,3,5.0,6,1.0,47.0,,35.154654,129.062179,2016-10-29 00:50:52.660346
7353355,38530724,Entire home/apt,Busan,Haeundae,11,5.0,10,3.0,163.0,1.0,35.161546,129.166334,2016-10-29 00:50:42.518054
10927104,56642159,Shared room,Busan,Dongnae,0,,1,1.0,31.0,1.0,35.211538,129.083382,2016-10-29 00:50:30.628300
14247615,86710252,Entire home/apt,Busan,Gijang,0,,4,1.0,32.0,1.0,35.240299,129.217046,2016-10-29 00:49:59.338076
6737062,35113999,Private room,Busan,Haeundae,1,,4,1.0,91.0,1.0,35.161778,129.160102,2016-10-29 00:49:53.699179
5147785,11189002,Shared room,Incheon,Jung,2,,6,1.0,22.0,1.0,35.099637,129.035701,2016-10-29 00:49:49.835373
4871682,25060510,Shared room,Busan,Suyeong,2,,6,1.0,15.0,1.0,35.162411,129.117844,2016-10-29 00:49:34.310484
10530851,51279527,Shared room,Busan,Buk,3,5.0,3,1.0,36.0,1.0,35.207696,129.031977,2016-10-29 00:49:18.818942
6387006,5456413,Entire home/apt,Busan,Haeundae,44,5.0,9,3.0,89.0,1.0,35.1687,129.18482,2016-10-29 00:49:12.291824
14257154,86825086,Shared room,Busan,Haeundae,1,,12,1.0,361.0,1.0,35.155211,129.14393,2016-10-29 00:48:58.739291
15576725,40557841,Entire home/apt,Busan,Haeundae,0,,3,1.0,91.0,1.0,35.157025,129.177624,2016-10-29 00:48:52.737994
38778,166326,Private room,Incheon,Jung,0,,1,1.0,52.0,1.0,35.102234,129.039761,2016-10-29 00:48:46.909757
14414099,88149996,Private room,Busan,Suyeong,1,,2,1.0,52.0,1.0,35.156153,129.128186,2016-10-29 00:48:37.084426
15401144,87697970,Shared room,Busan,Busanjin,2,,1,1.0,10.0,1.0,35.149149,129.05979,2016-10-29 00:48:23.402081
3274253,5182879,Shared room,Incheon,Jung,3,4.5,12,1.0,23.0,1.0,35.097659,129.029556,2016-10-29 00:48:15.168388
