room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
1376309,1463,6719858,Shared room,,Busan,Busan,Haeundae,1,0.0,6,1.0,,58.0,,2017-07-18 01:21:05.448051,35.163233,129.163706,0101000020E610000016855D143D2560406150A6D1E4944140
9321001,1463,48319394,Shared room,,Busan,Busan,Dong,16,4.5,6,1.0,,60.0,,2017-07-18 01:21:04.374056,35.118678,129.042491,0101000020E6100000FBEB15165C2160409A6038D7308F4140
4992802,1463,25060510,Shared room,,Busan,Busan,Suyeong,5,4.0,4,1.0,,57.0,,2017-07-18 01:21:03.299969,35.161781,129.116735,0101000020E61000008EE9094BBC2360409D0E643DB5944140
18432644,1463,127754788,Shared room,,Busan,Busan,Haeundae,0,0.0,10,1.0,,14.0,,2017-07-18 01:21:02.151912,35.157187,129.181593,0101000020E6100000D7851F9CCF2560409D2D20B41E944140
8201746,1463,17860082,Shared room,,Busan,Busan,Haeundae,31,4.5,8,1.0,,41.0,,2017-07-18 01:21:02.146857,35.160314,129.161266,0101000020E61000009E7E501729256040A48B4D2B85944140
11308615,1463,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,4,1.0,,83.0,,2017-07-18 01:20:56.438526,35.097436,129.029837,0101000020E6100000BE66B96CF4206040FEB968C8788C4140
11287983,1463,56005569,Shared room,,Busan,Incheon,Jung,0,0.0,4,1.0,,91.0,,2017-07-18 01:20:56.434723,35.099139,129.029693,0101000020E610000072FDBB3EF32060400B613596B08C4140
1887890,1463,9177813,Shared room,,Busan,Busan,Haeundae,22,4.0,4,1.0,,68.0,,2017-07-18 01:20:55.429658,35.159563,129.167636,0101000020E61000003B342C465D2560406953758F6C944140
2256699,1463,11524294,Shared room,,Busan,Busan,Haeundae,22,5.0,8,1.0,,72.0,,2017-07-18 01:20:55.426001,35.16065,129.158989,0101000020E61000008F6D1970162560401B0DE02D90944140
14080915,1463,84421174,Shared room,,Busan,Busan,Haeundae,0,0.0,4,1.0,,43.0,,2017-07-18 01:20:54.094346,35.159537,129.156398,0101000020E61000001DE560360125604040C05AB56B944140
5147785,1463,11189002,Shared room,,Busan,Incheon,Jung,2,0.0,6,1.0,,46.0,,2017-07-18 01:20:52.786469,35.099637,129.035701,0101000020E6100000E76D6C76242160405C3CBCE7C08C4140
2229579,1463,11189002,Shared room,,Busan,Incheon,Jung,5,4.0,8,1.0,,46.0,,2017-07-18 01:20:52.782333,35.101132,129.034089,0101000020E6100000E884D041172160401F4AB4E4F18C4140
14080692,1463,84421174,Shared room,,Busan,Busan,Haeundae,1,0.0,4,1.0,,42.0,,2017-07-18 01:20:51.853234,35.161679,129.157608,0101000020E6100000D1B2EE1F0B25604099B9C0E5B1944140
14063074,1463,84421174,Shared room,,Busan,Busan,Haeundae,3,3.5,4,1.0,,46.0,,2017-07-18 01:20:51.832764,35.159617,129.159211,0101000020E61000003BC5AA41182560405C7171546E944140
14241592,1463,13396423,Shared room,,Busan,Busan,Busanjin,1,0.0,5,1.0,,45.0,,2017-07-18 01:20:51.828676,35.148506,129.056013,0101000020E6100000D464C6DBCA21604040A19E3E02934140
1388118,1463,4218964,Shared room,,Busan,Busan,Haeundae,2,0.0,8,1.0,,44.0,,2017-07-18 01:20:51.816547,35.163505,129.164717,0101000020E61000000C03965C45256040C2DD59BBED944140
14079903,1463,84421174,Shared room,,Busan,Busan,Haeundae,2,0.0,4,1.0,,42.0,,2017-07-18 01:20:50.643893,35.159575,129.157767,0101000020E61000006B2C616D0C2560402D211FF46C944140
14334232,1463,86644149,Shared room,,Busan,Incheon,Jung,4,4.5,3,1.0,,43.0,,2017-07-18 01:20:50.630635,35.103987,129.034551,0101000020E610000069E1B20A1B216040C51A2E724F8D4140
12215245,1463,62329778,Shared room,,Busan,Busan,Haeundae,2,0.0,10,1.0,,45.0,,2017-07-18 01:20:49.787349,35.161953,129.160053,0101000020E61000000E1478271F2560409A3E3BE0BA944140
1722516,1463,9048344,Shared room,,Busan,Busan,Haeundae,1,0.0,4,1.0,,45.0,,2017-07-18 01:20:49.784454,35.161599,129.159545,0101000020E6100000B1A71DFE1A2560407D08AA46AF944140
3314065,1463,15983815,Shared room,,Busan,Busan,Haeundae,2,0.0,4,1.0,,45.0,,2017-07-18 01:20:49.780916,35.16267,129.159647,0101000020E6100000F27C06D41B2560402905DD5ED2944140
10099617,1463,45961128,Shared room,,Busan,Busan,Dong,1,0.0,2,1.0,,43.0,,2017-07-18 01:20:49.766236,35.114223,129.023102,0101000020E61000001CCF6740BD206040BBB9F8DB9E8E4140
18954791,1463,17273129,Shared room,,Busan,Busan,Suyeong,0,0.0,4,1.0,,53.0,,2017-07-18 01:20:49.761808,35.155874,129.121832,0101000020E610000067F3380CE6236040FA25E2ADF3934140
2616744,1463,13396423,Shared room,,Busan,Busan,Busanjin,20,5.0,5,1.0,,43.0,,2017-07-18 01:20:48.786293,35.147328,129.057055,0101000020E610000058E20165D32160407EE4D6A4DB924140
19443281,1463,134826543,Shared room,,Busan,Busan,Yeonje,0,0.0,4,1.0,,54.0,,2017-07-18 01:20:48.781104,35.183711,129.081704,0101000020E61000007AFEB4519D2260402E7590D783974140
15590035,1463,27086135,Shared room,,Busan,Busan,Haeundae,1,0.0,10,1.0,,23.0,,2017-07-18 01:20:46.896784,35.163149,129.163907,0101000020E6100000BC92E4B93E25604003B00111E2944140
5233618,1463,27086135,Shared room,,Busan,Busan,Haeundae,3,4.0,4,1.0,,38.0,,2017-07-18 01:20:46.885126,35.163188,129.161047,0101000020E6100000CEC3094C27256040C18C2958E3944140
13177063,1463,4449162,Shared room,,Busan,Busan,Gijang,0,0.0,2,1.0,,28.0,,2017-07-18 01:20:46.879711,35.274887,129.241541,0101000020E610000095F430B4BA2760403B8C497F2FA34140
3274253,1463,5182879,Shared room,,Busan,Incheon,Jung,3,4.5,12,1.0,,39.0,,2017-07-18 01:20:46.867785,35.097659,129.029556,0101000020E6100000D2AC6C1FF22060407D941117808C4140
14081901,1463,84421174,Shared room,,Busan,Busan,Haeundae,1,0.0,6,1.0,,40.0,,2017-07-18 01:20:46.864728,35.161287,129.156827,0101000020E610000027840EBA042560408E226B0DA5944140
1543309,1463,8180419,Shared room,,Busan,Busan,Busanjin,165,4.5,6,1.0,,15.0,,2017-07-18 01:20:45.564823,35.149015,129.058371,0101000020E61000001D01DC2CDE21604085CE6BEC12934140
954293,1463,5182879,Shared room,,Busan,Incheon,Jung,12,4.5,10,1.0,,39.0,,2017-07-18 01:20:44.497156,35.095385,129.028994,0101000020E6100000F838D384ED206040B5C35F93358C4140
3304463,1463,15983815,Shared room,,Busan,Busan,Haeundae,5,4.5,6,1.0,,34.0,,2017-07-18 01:20:44.494107,35.162076,129.155539,0101000020E610000015C8EC2CFA246040B6BB07E8BE944140
11048424,1463,57341067,Shared room,,Busan,Busan,Suyeong,16,4.5,16,1.0,,39.0,,2017-07-18 01:20:44.491312,35.151448,129.114967,0101000020E6100000D12346CFAD236040B685E7A562934140
14080459,1463,84421174,Shared room,,Busan,Busan,Haeundae,1,0.0,6,1.0,,40.0,,2017-07-18 01:20:44.488566,35.161689,129.157236,0101000020E610000020B8CA1308256040BD8FA339B2944140
