room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1393696,7534071,Shared room,Busan,Haeundae,1,0.0,6,1.0,22.0,,35.164786,129.160706,2017-02-12 05:09:01.670141
1722516,9048344,Shared room,Busan,Haeundae,1,0.0,4,1.0,23.0,,35.161599,129.159545,2017-02-12 05:09:01.667133
421816,2002115,Shared room,Busan,Haeundae,7,4.0,16,1.0,23.0,,35.160548,129.15913,2017-02-12 05:09:01.664793
1724296,9048344,Shared room,Busan,Haeundae,0,0.0,8,1.0,18.0,,35.161297,129.158537,2017-02-12 05:09:01.661862
14189595,84421174,Shared room,Busan,Haeundae,0,0.0,6,1.0,22.0,,35.160324,129.157809,2017-02-12 05:09:01.659545
401105,2002115,Shared room,Busan,Haeundae,16,4.0,16,1.0,25.0,,35.1615,129.158183,2017-02-12 05:09:01.657062
954293,5182879,Shared room,Incheon,Jung,11,4.5,10,1.0,23.0,,35.095385,129.028994,2017-02-12 05:09:00.902763
3320784,15983815,Shared room,Busan,Haeundae,0,0.0,6,1.0,21.0,,35.162785,129.156874,2017-02-12 05:09:00.900084
3314451,15983815,Shared room,Busan,Haeundae,0,0.0,4,1.0,23.0,,35.163178,129.156851,2017-02-12 05:09:00.897410
6350953,32576225,Shared room,Incheon,Jung,0,0.0,1,1.0,21.0,,35.096337,129.029484,2017-02-12 05:09:00.895086
3304463,15983815,Shared room,Busan,Haeundae,2,0.0,6,1.0,13.0,,35.162076,129.155539,2017-02-12 05:09:00.889812
3274253,5182879,Shared room,Incheon,Jung,3,4.5,12,1.0,23.0,,35.097659,129.029556,2017-02-12 05:09:00.884700
2229421,11189002,Shared room,Incheon,Jung,6,4.5,8,1.0,24.0,,35.098285,129.035867,2017-02-12 05:09:00.882462
2193913,11189002,Shared room,Incheon,Jung,15,4.5,12,1.0,22.0,,35.098981,129.034024,2017-02-12 05:09:00.879248
2229579,11189002,Shared room,Incheon,Jung,5,4.0,8,1.0,22.0,,35.101132,129.034089,2017-02-12 05:09:00.875911
12158100,4449162,Shared room,Busan,Dong,2,0.0,6,1.0,18.0,,35.110131,129.030239,2017-02-12 05:09:00.870571
8142094,31273436,Shared room,Busan,Haeundae,3,4.0,8,1.0,27.0,,35.170616,129.134628,2017-02-12 05:09:00.868421
