room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3774900,6823717,Entire home/apt,,Cambridgeport,104,5.0,4,1.0,195.0,1.0,42.360789,-71.11365,2016-09-30 07:12:32.693628
14472696,47590394,Private room,,Area Four,4,5.0,1,1.0,80.0,2.0,42.366695,-71.099008,2016-09-30 07:11:53.501656
14335542,87768350,Entire home/apt,,East Cambridge,0,,9,4.0,575.0,5.0,42.370471,-71.080435,2016-09-30 07:11:37.404203
2668351,5153610,Entire home/apt,,Area Four,5,4.0,3,2.0,195.0,3.0,42.367602,-71.099065,2016-09-30 07:11:29.190633
12874553,54097917,Private room,,East Cambridge,1,,2,1.0,70.0,2.0,42.3707,-71.087989,2016-09-30 07:11:08.595734
6360362,33135625,Private room,,Neighborhood Nine,0,,1,1.0,55.0,1.0,42.389238,-71.134451,2016-09-30 07:11:02.529473
8969634,46873928,Entire home/apt,,Riverside,7,4.5,5,3.0,400.0,1.0,42.365022,-71.111766,2016-09-30 07:10:45.156928
15222030,5580734,Entire home/apt,,West Cambridge,0,,4,1.0,130.0,2.0,42.381372,-71.142884,2016-09-30 07:10:13.789163
3131733,6331373,Private room,,East Cambridge,102,4.5,2,1.0,66.0,1.0,42.369942,-71.08047,2016-09-30 07:10:04.137588
13752557,17463354,Entire home/apt,,Wellington-Harrington,1,,2,2.0,140.0,2.0,42.372816,-71.098178,2016-09-30 07:09:38.170449
7618792,5080437,Private room,,East Cambridge,14,4.0,2,1.0,84.0,1.0,42.367376,-71.085019,2016-09-30 07:09:22.238823
6805863,10732627,Entire home/apt,,Mid-Cambridge,0,,3,2.0,99.0,21.0,42.369366,-71.104914,2016-09-30 07:09:18.024832
13325820,21813083,Entire home/apt,,Agassiz,0,,2,1.0,107.0,2.0,42.379472,-71.117258,2016-09-30 07:09:14.968021
6243714,32413946,Private room,,Riverside,10,5.0,1,1.0,95.0,2.0,42.370047,-71.112939,2016-09-30 07:09:11.748842
8385695,44188287,Entire home/apt,,Mid-Cambridge,16,5.0,2,1.0,80.0,2.0,42.368842,-71.109346,2016-09-30 07:09:07.926084
5902321,10782716,Entire home/apt,,Neighborhood Nine,11,4.5,4,1.0,125.0,,42.380741,-71.120781,2016-09-30 07:08:55.562609
2262349,2356643,Entire home/apt,,Cambridge Highlands,25,3.5,5,2.0,100.0,2.0,42.390464,-71.15607,2016-09-30 07:08:52.401524
9725868,1123181,Private room,,Area Four,23,5.0,1,1.0,53.0,3.0,42.366904,-71.096774,2016-09-30 07:08:41.960573
13222956,12243051,Entire home/apt,,Cambridgeport,4,5.0,6,3.0,299.0,3.0,42.35694,-71.107411,2016-09-30 07:08:13.981163
8593413,45224133,Entire home/apt,,Mid-Cambridge,28,5.0,3,1.0,250.0,1.0,42.370996,-71.10566,2016-09-30 07:07:55.319635
13430208,2356643,Entire home/apt,,Mid-Cambridge,21,4.0,2,0.0,162.0,1.0,42.368387,-71.107226,2016-09-30 07:07:52.331044
9938323,51079261,Private room,,Cambridgeport,2,,1,1.0,120.0,1.0,42.362208,-71.099827,2016-09-30 07:07:19.540496
13556062,51079261,Private room,,Cambridgeport,8,4.5,2,1.0,120.0,1.0,42.36256,-71.09905,2016-09-30 07:07:03.839356
10436125,21112023,Entire home/apt,,Mid-Cambridge,73,5.0,5,1.0,200.0,1.0,42.371031,-71.113027,2016-09-30 07:06:48.287674
8118800,42872576,Entire home/apt,,Riverside,3,,3,1.0,150.0,1.0,42.37026,-71.11432,2016-09-30 07:06:38.808742
7789055,19008767,Entire home/apt,,Cambridgeport,40,4.5,8,3.0,329.0,1.0,42.359342,-71.114047,2016-09-30 07:06:33.927740
9409985,21420925,Private room,,Wellington-Harrington,41,4.5,2,1.0,100.0,1.0,42.373547,-71.100076,2016-09-30 07:05:59.692631
6643926,4298040,Entire home/apt,,Cambridgeport,1,,4,1.0,130.0,4.0,42.360811,-71.114436,2016-09-30 07:05:49.142110
14705339,35404558,Entire home/apt,,Mid-Cambridge,2,,1,1.0,95.0,3.0,42.36863,-71.107463,2016-09-30 07:05:21.929143
15142564,5713827,Entire home/apt,,Riverside,0,,2,1.0,210.0,1.0,42.363081,-71.114478,2016-09-30 07:05:18.562788
15025270,19874761,Entire home/apt,,Mid-Cambridge,1,,4,5.0,325.0,3.0,42.372773,-71.105799,2016-09-30 06:57:00.451766
15125756,3381894,Private room,,Neighborhood Nine,0,,2,1.0,95.0,2.0,42.383436,-71.121221,2016-09-30 06:56:56.801493
5744834,17406884,Entire home/apt,,West Cambridge,89,5.0,12,4.0,500.0,,42.380281,-71.145237,2016-09-30 06:56:47.185631
10543898,19183321,Private room,,North Cambridge,8,5.0,2,1.0,110.0,2.0,42.390707,-71.126175,2016-09-30 06:56:35.194384
14841218,5074009,Entire home/apt,,Cambridgeport,3,5.0,4,2.0,175.0,2.0,42.358391,-71.10828,2016-09-30 06:56:19.158595
11489064,28749942,Private room,,East Cambridge,4,5.0,2,1.0,150.0,1.0,42.363015,-71.083618,2016-09-30 06:56:15.010338
14958002,2739458,Private room,,Cambridgeport,0,,2,1.0,125.0,1.0,42.356977,-71.107734,2016-09-30 06:55:37.145503
4716432,745534,Entire home/apt,,Riverside,94,5.0,3,1.0,198.0,1.0,42.367629,-71.107621,2016-09-30 06:55:18.994116
4174704,21663018,Entire home/apt,,Neighborhood Nine,1,,5,3.0,280.0,4.0,42.389153,-71.124731,2016-09-30 06:55:15.230511
8129338,42927628,Private room,,East Cambridge,39,5.0,1,1.0,108.0,2.0,42.369406,-71.083604,2016-09-30 06:54:40.193136
7963070,40515595,Entire home/apt,,Wellington-Harrington,8,5.0,6,2.0,400.0,2.0,42.373159,-71.099115,2016-09-30 06:54:18.624378
3474824,5074009,Entire home/apt,,Cambridgeport,95,5.0,2,0.0,145.0,2.0,42.359027,-71.108116,2016-09-30 06:54:13.200220
10649456,48583357,Entire home/apt,,East Cambridge,58,4.5,4,2.0,125.0,1.0,42.372397,-71.080512,2016-09-30 06:53:59.939301
9188282,15374579,Private room,,Cambridgeport,0,,3,1.0,65.0,2.0,42.361987,-71.101778,2016-09-30 06:53:49.422423
6812943,14153208,Entire home/apt,,East Cambridge,5,5.0,2,1.0,180.0,3.0,42.366089,-71.082382,2016-09-30 06:53:36.454812
8272315,10828030,Private room,,Area Four,33,5.0,2,1.0,149.0,1.0,42.366413,-71.09674,2016-09-30 06:53:16.650974
5791244,30045286,Entire home/apt,,West Cambridge,69,5.0,2,1.0,150.0,2.0,42.383761,-71.135488,2016-09-30 06:53:03.181900
108898,306681,Entire home/apt,,West Cambridge,12,4.5,4,2.0,175.0,2.0,42.383773,-71.135433,2016-09-30 06:52:59.347427
4636713,525449,Entire home/apt,,Cambridgeport,7,5.0,4,2.0,495.0,7.0,42.360781,-71.108479,2016-09-30 06:52:38.695154
12945302,585772,Private room,,Riverside,1,,1,1.0,60.0,7.0,42.365222,-71.106203,2016-09-30 06:52:07.128268
5590962,28986706,Private room,,East Cambridge,4,5.0,2,1.0,38.0,1.0,42.372058,-71.083682,2016-09-30 06:51:40.786831
996575,727944,Entire home/apt,,North Cambridge,96,4.5,2,1.0,130.0,4.0,42.392838,-71.123996,2016-09-30 06:51:13.993374
8537739,44948848,Private room,,West Cambridge,4,4.5,1,1.0,80.0,1.0,42.376327,-71.124231,2016-09-30 06:50:50.106900
5670423,29374848,Entire home/apt,,West Cambridge,18,5.0,2,1.0,250.0,2.0,42.373705,-71.125113,2016-09-30 06:50:47.049527
15285943,95459395,Entire home/apt,,East Cambridge,0,,3,1.0,571.0,3.0,42.362756,-71.084212,2016-09-30 06:50:40.109435
5172195,12937551,Private room,,Cambridgeport,112,4.5,2,1.0,70.0,1.0,42.362846,-71.108528,2016-09-30 06:50:07.504312
13991567,29670399,Private room,,East Cambridge,13,5.0,2,1.0,143.0,1.0,42.364095,-71.082299,2016-09-30 06:49:52.167706
