room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8890020,4918100,Entire home/apt,,Agassiz,3,5.0,3,1.0,181.0,,42.379515,-71.119128,2017-03-10 20:19:30.103026
12360417,30283594,Entire home/apt,,East Cambridge,2,0.0,5,2.0,189.0,,42.365897,-71.084483,2017-03-10 20:19:30.079682
7842611,41322072,Entire home/apt,,North Cambridge,1,0.0,2,1.0,185.0,,42.393032,-71.127616,2017-03-10 20:19:26.443801
14746599,56905529,Entire home/apt,,Cambridgeport,2,0.0,2,1.0,185.0,,42.360189,-71.106058,2017-03-10 20:19:25.248942
8049897,41474144,Entire home/apt,,Mid-Cambridge,12,4.5,4,1.0,150.0,,42.375223,-71.11286,2017-03-10 20:17:34.590646
12379140,30283594,Entire home/apt,,East Cambridge,0,0.0,3,1.0,126.0,,42.364194,-71.082737,2017-03-10 20:17:27.437925
8427020,5671925,Entire home/apt,,North Cambridge,5,5.0,2,1.0,138.0,,42.390643,-71.123617,2017-03-10 20:17:25.984940
10052826,30283594,Entire home/apt,,East Cambridge,2,0.0,3,1.0,129.0,,42.363646,-71.084674,2017-03-10 20:17:25.980092
13055504,67730125,Entire home/apt,,Mid-Cambridge,2,0.0,2,0.0,129.0,,42.371637,-71.11098,2017-03-10 20:17:24.689970
6643926,4298040,Entire home/apt,,Cambridgeport,1,0.0,4,1.0,130.0,,42.360811,-71.114436,2017-03-10 20:17:23.073109
9813502,2406068,Entire home/apt,,Riverside,1,0.0,2,1.0,130.0,,42.370535,-71.11404,2017-03-10 20:17:23.052972
1579165,7918311,Entire home/apt,,North Cambridge,21,4.5,2,0.0,127.0,,42.398404,-71.131046,2017-03-10 20:17:20.042895
6991638,14766804,Entire home/apt,,Cambridgeport,17,5.0,4,1.0,137.0,,42.364379,-71.106849,2017-03-10 20:17:18.656180
16896100,45016784,Entire home/apt,,Wellington-Harrington,15,5.0,7,2.0,135.0,,42.372656,-71.089611,2017-03-10 20:17:16.091152
8593413,45224133,Entire home/apt,,Mid-Cambridge,49,5.0,3,1.0,127.0,,42.370996,-71.10566,2017-03-10 20:17:16.069004
4932029,25407755,Entire home/apt,,North Cambridge,187,5.0,2,1.0,135.0,,42.397053,-71.133052,2017-03-10 20:17:14.628602
12225809,64947580,Entire home/apt,,Cambridgeport,18,5.0,2,1.0,130.0,,42.363763,-71.104388,2017-03-10 20:17:14.608358
8402944,1722410,Entire home/apt,,Agassiz,11,4.5,3,1.0,137.0,,42.381721,-71.114398,2017-03-10 20:17:14.603754
17564991,78364241,Entire home/apt,,East Cambridge,0,0.0,2,1.0,130.0,,42.363438,-71.083748,2017-03-10 20:17:14.599646
10066136,30283594,Entire home/apt,,East Cambridge,1,0.0,3,1.0,119.0,,42.363132,-71.084102,2017-03-10 20:17:13.320783
16972712,23153763,Entire home/apt,,Wellington-Harrington,0,0.0,2,1.0,115.0,,42.370203,-71.095951,2017-03-10 20:17:10.515697
14918240,2124002,Entire home/apt,,East Cambridge,2,0.0,4,1.0,110.0,,42.369268,-71.087193,2017-03-10 20:17:10.485393
9707438,23166850,Entire home/apt,,Mid-Cambridge,2,0.0,4,1.0,105.0,,42.370466,-71.105456,2017-03-10 20:17:09.215466
13509873,67730125,Entire home/apt,,North Cambridge,0,0.0,2,1.0,110.0,,42.394248,-71.130733,2017-03-10 20:17:09.180297
13032197,65403457,Entire home/apt,,Mid-Cambridge,24,4.5,3,0.0,109.0,,42.370169,-71.110307,2017-03-10 20:17:07.869563
15902985,6331373,Entire home/apt,,Cambridgeport,7,4.5,4,2.0,108.0,,42.36293,-71.10919,2017-03-10 20:17:07.858350
12970629,23006158,Entire home/apt,,Mid-Cambridge,3,2.5,3,1.0,111.0,,42.369087,-71.10657,2017-03-10 20:17:07.853577
5724726,4695018,Entire home/apt,,Riverside,13,4.0,3,1.0,104.0,,42.364146,-71.111879,2017-03-10 20:17:06.535194
4751209,17028791,Entire home/apt,,West Cambridge,20,4.0,3,1.0,119.0,,42.381502,-71.13807,2017-03-10 20:17:06.531897
6274676,1146992,Entire home/apt,,Riverside,24,4.5,3,1.0,110.0,,42.366924,-71.108121,2017-03-10 20:17:05.574372
13228979,10104359,Entire home/apt,,Mid-Cambridge,10,5.0,5,1.0,115.0,,42.370656,-71.102729,2017-03-10 20:17:04.394641
1678888,8538135,Entire home/apt,,East Cambridge,3,4.5,5,2.0,110.0,,42.368992,-71.080356,2017-03-10 20:17:04.386393
15253942,65403457,Entire home/apt,,Mid-Cambridge,29,5.0,2,0.0,109.0,,42.373587,-71.118646,2017-03-10 20:17:02.637762
6805863,10732627,Entire home/apt,,Mid-Cambridge,0,0.0,3,2.0,99.0,,42.369366,-71.104914,2017-03-10 20:16:58.778604
17362161,47584294,Entire home/apt,,East Cambridge,2,0.0,8,2.0,99.0,,42.369485,-71.082282,2017-03-10 20:16:57.178720
15842828,12243051,Entire home/apt,,West Cambridge,1,0.0,6,3.0,99.0,,42.373259,-71.125878,2017-03-10 20:16:55.729208
5902321,10782716,Entire home/apt,,Neighborhood Nine,12,4.5,4,1.0,100.0,,42.380741,-71.120781,2017-03-10 20:16:54.580881
15499268,21184200,Entire home/apt,,West Cambridge,10,4.5,8,2.0,99.0,,42.375296,-71.129723,2017-03-10 20:16:52.736966
9778162,21683644,Entire home/apt,,Area Four,28,4.5,4,1.0,99.0,,42.36518,-71.096869,2017-03-10 20:16:51.411242
14529753,49944786,Entire home/apt,,Mid-Cambridge,2,0.0,2,1.0,75.0,,42.370758,-71.113159,2017-03-10 20:16:47.603293
12804334,69775676,Entire home/apt,,Neighborhood Nine,1,0.0,2,1.0,70.0,,42.378733,-71.123067,2017-03-10 20:16:46.074134
11259282,1114268,Entire home/apt,,Riverside,9,5.0,2,1.0,79.0,,42.367963,-71.108349,2017-03-10 20:16:46.058980
12468145,490759,Entire home/apt,,Neighborhood Nine,2,0.0,2,0.0,65.0,,42.377593,-71.122887,2017-03-10 20:16:46.055591
10134656,3337910,Entire home/apt,,Area Four,0,0.0,2,1.0,75.0,,42.366391,-71.101245,2017-03-10 20:16:46.052417
16427968,21674180,Entire home/apt,,Mid-Cambridge,2,0.0,4,1.0,69.0,,42.369944,-71.109531,2017-03-10 20:16:44.516019
17544187,119017939,Entire home/apt,,West Cambridge,0,0.0,3,2.0,70.0,,42.377998,-71.123608,2017-03-10 20:16:44.510735
6402988,18220528,Entire home/apt,,Mid-Cambridge,1,0.0,6,3.0,1200.0,,42.373647,-71.111385,2017-03-10 20:16:39.755811
15369556,95459395,Entire home/apt,,East Cambridge,0,0.0,5,2.0,800.0,,42.363437,-71.082231,2017-03-10 20:16:38.546737
15295997,95459395,Entire home/apt,,East Cambridge,1,0.0,5,2.0,800.0,,42.364051,-71.082558,2017-03-10 20:16:38.541036
15298209,95459395,Entire home/apt,,East Cambridge,0,0.0,5,2.0,800.0,,42.364385,-71.083131,2017-03-10 20:16:38.536417
15296208,95459395,Entire home/apt,,East Cambridge,0,0.0,5,2.0,800.0,,42.364452,-71.084227,2017-03-10 20:16:38.531000
14764928,74870895,Entire home/apt,,Mid-Cambridge,0,0.0,10,3.0,900.0,,42.371067,-71.109078,2017-03-10 20:16:38.514073
4333352,12583292,Entire home/apt,,Cambridgeport,0,0.0,3,2.0,775.0,,42.359788,-71.10967,2017-03-10 20:16:38.508132
12269226,66084479,Entire home/apt,,Riverside,4,5.0,10,5.0,747.0,,42.36456,-71.109915,2017-03-10 20:16:38.505894
12042231,49574649,Entire home/apt,,Neighborhood Nine,0,0.0,8,4.0,1000.0,,42.380822,-71.123344,2017-03-10 20:16:38.502073
