room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
6424462,1385,11396812,Entire home/apt,,Cambridge MA,,East Cambridge,0,0.0,4,2.0,,350.0,,2017-06-24 14:56:17.902647,42.369984,-71.082145,0101000020E6100000EA211ADD41C551C08A05BEA25B2F4540
6936271,1385,18945777,Entire home/apt,,Cambridge MA,,East Cambridge,0,0.0,4,2.0,,395.0,,2017-06-24 14:56:16.943363,42.363203,-71.082877,0101000020E6100000CC2555DB4DC551C09067976F7D2E4540
10846971,1385,614436,Entire home/apt,,Cambridge MA,,Riverside,3,5.0,4,2.0,,399.0,,2017-06-24 14:56:16.925002,42.36771,-71.115771,0101000020E6100000D0B4C4CA68C751C0C2340C1F112F4540
15302461,1385,43952026,Entire home/apt,,Cambridge MA,,Cambridgeport,1,0.0,5,2.0,,350.0,,2017-06-24 14:56:16.915426,42.35738,-71.112585,0101000020E61000004A41B79734C751C04B1FBAA0BE2D4540
13590292,1385,78506027,Entire home/apt,,Cambridge MA,,East Cambridge,0,0.0,6,2.0,,325.0,,2017-06-24 14:56:15.831473,42.371009,-71.072135,0101000020E610000068791EDC9DC451C0C6C210397D2F4540
15422637,1385,21647935,Entire home/apt,,Cambridge MA,,Riverside,3,5.0,8,3.0,,395.0,,2017-06-24 14:56:14.785394,42.363795,-71.114221,0101000020E61000000DE198654FC751C063B9A5D5902E4540
15842593,1385,26869377,Entire home/apt,,Cambridge MA,,Neighborhood Nine,23,5.0,10,3.0,,310.0,,2017-06-24 14:56:13.155131,42.389461,-71.125857,0101000020E610000040BE840A0EC851C0A208A9DBD9314540
5560191,1385,2407640,Entire home/apt,,Cambridge MA,,Mid-Cambridge,1,0.0,5,3.0,,400.0,,2017-06-24 14:56:12.148207,42.370884,-71.102146,0101000020E6100000B45A608F89C651C0094E7D20792F4540
3100411,1385,3668535,Entire home/apt,,Cambridge MA,,Mid-Cambridge,28,4.5,5,2.0,,329.0,,2017-06-24 14:56:12.136532,42.371145,-71.112735,0101000020E61000005587DC0C37C751C07689EAAD812F4540
18734484,1385,9161433,Entire home/apt,,Cambridge MA,,Neighborhood Nine,0,0.0,8,3.0,,393.0,,2017-06-24 14:56:12.120319,42.386636,-71.131533,0101000020E6100000115663096BC851C067BAD7497D314540
13005845,1385,71727698,Entire home/apt,,Cambridge MA,,Riverside,40,4.5,6,3.0,,398.0,,2017-06-24 14:56:10.942065,42.365015,-71.109784,0101000020E6100000F16778B306C751C054C6BFCFB82E4540
8308492,1385,17476640,Entire home/apt,,Cambridge MA,,Cambridgeport,16,4.5,9,4.0,,350.0,,2017-06-24 14:56:04.513787,42.360667,-71.110529,0101000020E61000009D103AE812C751C08BDF14562A2E4540
5744834,1385,17406884,Entire home/apt,,Cambridge MA,,West Cambridge,131,4.5,12,4.0,,310.0,,2017-06-24 14:56:03.555798,42.380281,-71.145237,0101000020E6100000D34A21904BC951C024253D0CAD304540
6662157,1385,30719211,Entire home/apt,,Cambridge MA,,North Cambridge,44,5.0,7,4.0,,395.0,,2017-06-24 14:56:03.536744,42.39247,-71.132002,0101000020E61000006C4084B872C851C0A054FB743C324540
1307195,1385,7106416,Entire home/apt,,Cambridge MA,,Cambridgeport,218,5.0,6,3.0,,349.0,,2017-06-24 14:56:03.531357,42.363918,-71.101907,0101000020E6100000F10EF0A485C651C07E3672DD942E4540
8382466,1385,44173387,Entire home/apt,,Cambridge MA,,Cambridgeport,24,4.5,3,2.0,,210.0,,2017-06-24 14:55:55.395664,42.358129,-71.110429,0101000020E6100000EBE1CB4411C751C0E55FCB2BD72D4540
7019493,1385,3690888,Entire home/apt,,Cambridge MA,,East Cambridge,15,4.5,2,1.0,,275.0,,2017-06-24 14:55:20.310602,42.370228,-71.075716,0101000020E61000002CF2EB87D8C451C0200890A1632F4540
734748,1385,3011415,Entire home/apt,,Cambridge MA,,Riverside,35,4.5,3,1.0,,205.0,,2017-06-24 14:54:30.955196,42.367061,-71.110822,0101000020E6100000596B28B517C751C08B51D7DAFB2E4540
12884516,1385,67730125,Entire home/apt,,Cambridge MA,,East Cambridge,0,0.0,2,1.0,,250.0,,2017-06-24 14:54:00.953252,42.364473,-71.084,0101000020E61000004C37894160C551C033A31F0DA72E4540
13651953,1385,18298047,Entire home/apt,,Cambridge MA,,Cambridgeport,0,0.0,5,2.0,,247.0,,2017-06-24 14:53:24.985367,42.360267,-71.099996,0101000020E6100000C66E9F5566C651C0FD69A33A1D2E4540
13799130,1385,67730125,Entire home/apt,,Cambridge MA,,Riverside,2,0.0,4,2.0,,215.0,,2017-06-24 14:53:21.601216,42.369833,-71.113514,0101000020E6100000D76839D043C751C0A4FD0FB0562F4540
7522561,1385,132089155,Entire home/apt,,Cambridge MA,,Neighborhood Nine,29,5.0,6,2.0,,258.0,,2017-06-24 14:53:09.614425,42.387839,-71.140182,0101000020E6100000395FECBDF8C851C0828E56B5A4314540
613838,1385,3011415,Entire home/apt,,Cambridge MA,,Riverside,63,5.0,2,1.0,,215.0,,2017-06-24 14:53:06.410138,42.367967,-71.110567,0101000020E610000014419C8713C751C0ED80EB8A192F4540
1431315,1385,25188,Entire home/apt,,Cambridge MA,,Agassiz,1,0.0,2,1.0,,189.0,,2017-06-24 14:53:04.704320,42.377555,-71.111803,0101000020E61000000F26C5C727C751C07CB8E4B853304540
14117899,1385,67730125,Entire home/apt,,Cambridge MA,,Mid-Cambridge,0,0.0,2,1.0,,199.0,,2017-06-24 14:53:04.699301,42.373726,-71.107541,0101000020E6100000AA7EA5F3E1C651C01BD5E940D62F4540
15827575,1385,30283594,Entire home/apt,,Cambridge MA,,Area 2/MIT,0,0.0,5,2.0,,186.0,,2017-06-24 14:53:04.695381,42.362476,-71.084022,0101000020E61000004089CF9D60C551C0DECA129D652E4540
14111263,1385,55721734,Entire home/apt,,Cambridge MA,,Cambridgeport,12,5.0,4,1.0,,200.0,,2017-06-24 14:53:03.165038,42.360179,-71.111238,0101000020E6100000A304FD851EC751C05EDA70581A2E4540
14628436,1385,32532791,Entire home/apt,,Cambridge MA,,Mid-Cambridge,1,0.0,4,0.0,,195.0,,2017-06-24 14:53:01.492700,42.372519,-71.105541,0101000020E6100000C7D8092FC1C651C0BE11DDB3AE2F4540
2668351,1385,5153610,Entire home/apt,,Cambridge MA,,Area Four,5,4.0,3,2.0,,190.0,,2017-06-24 14:52:58.705438,42.367602,-71.099065,0101000020E610000068CBB91457C651C0DBF813950D2F4540
6626424,1385,6823717,Entire home/apt,,Cambridge MA,,Cambridgeport,91,4.5,6,2.0,,190.0,,2017-06-24 14:52:46.101792,42.360858,-71.113228,0101000020E6100000753FA7203FC751C0FF3F4E98302E4540
13971507,1385,83305489,Entire home/apt,,Cambridge MA,,Wellington-Harrington,32,5.0,2,0.0,,190.0,,2017-06-24 14:52:44.474317,42.373513,-71.10048,0101000020E6100000BC79AA436EC651C0C0D02346CF2F4540
13199285,1385,7566738,Entire home/apt,,Cambridge MA,,Mid-Cambridge,11,5.0,2,1.0,,149.0,,2017-06-24 14:51:47.798458,42.373806,-71.101802,0101000020E6100000B72A89EC83C651C0388600E0D82F4540
69365,1385,347182,Entire home/apt,,Cambridge MA,,Wellington-Harrington,11,5.0,3,2.0,,175.0,,2017-06-24 14:51:46.451764,42.369139,-71.093342,0101000020E6100000F855B950F9C551C0CD565EF23F2F4540
15943666,1385,102303698,Entire home/apt,,Cambridge MA,,Wellington-Harrington,20,5.0,4,1.0,,145.0,,2017-06-24 14:51:42.165275,42.372889,-71.091305,0101000020E6100000863DEDF0D7C551C0E204A6D3BA2F4540
